"codigo","referencia","descrição","preço","custo","linha","usuario","comissão","preço_vista","mvista","mprazo","estmin","estmax","fabrica","menor","mmenor","promoção","letras","balança","marca","modelo","cmedio","outros","clas_fiscal","sit_fiscal","saldo","unidade","empresa","nomelinha","auto","subs","ncm","icm","und","aliquota","saldoa","ippt","saldoc","saldoatual","dif","cest","origem","csosn","cfop","idcsosn","idcfop","promox","saldomes","fornecedor","ativo","espec","saldo1"
1095,"1095","SM 1523 PT Trinco p/Bascul Central - Glasspeças",14.87,9.91,47,"COMPRAS",0,14.87,50,50,0,0,"*",12.88,30,0.00,"*","*","*","*",9.29,0,"OK 2021","060",60.00,"*",1,"GLASSPEÇAS          ",1010,1,"83014000","1800","UND","0000",0.000,"*",102.00,88.00,0.00,"1007400",0,60,5405,5,3,"*",80.00,138135,0,1,45.00
1101,"1101","SM 1524 BC Cont Trinco Bas Central V/V - Glasspeças",15.76,10.48,47,"FINANCEIRO",0,15.76,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",7.11,0,"OK 2021","060",42.00,"*",1,"GLASSPEÇAS          ",1016,1,"83024100","1800","UND","0000",0.000,"*",23.00,-6.00,42.00,"1007400",0,0,5102,0,0,"*",7.00,138135,0,1,42.00
1103,"1103","SM 1524 CR Cont Trinco Bas Central V/V - Glasspeças",15.76,10.48,47,"FINANCEIRO",0,15.76,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",7.11,0,"OK 2021","060",28.00,"*",1,"GLASSPEÇAS          ",1018,1,"83024100","1800","UND","0000",0.000,"*",8.00,27.00,0.00,"1007400",0,0,5102,0,0,"*",4.00,138135,0,1,28.00
1104,"1104","SM 1524 NF Cont Trinco Bas Central V/V - Glasspeças",15.76,10.48,47,"FINANCEIRO",0,15.76,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",7.11,0,"OK 2021","060",31.00,"*",1,"GLASSPEÇAS          ",1019,1,"83024100","1800","UND","0000",0.000,"*",30.00,0.00,0.00,"1007400",0,0,5102,0,0,"*",10.00,138135,0,1,31.00
1105,"1105","SM 1524 PT Cont Trinco Bas Central V/V - Glasspeças",15.76,10.48,47,"FINANCEIRO",0,15.76,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",7.11,0,"OK 2021","060",33.00,"*",1,"GLASSPEÇAS          ",1020,1,"83024100","1800","UND","0000",0.000,"*",21.00,18.00,0.00,"1007400",0,0,5102,0,0,"*",8.00,138135,0,1,34.00
1116,"1116","SM 1529 BC Trinco p/Box - Glasspeças",35.99,23.99,47,"FINANCEIRO",0,35.99,50,50,0,0,"*",31.19,30,0.00,"*","*","*","*",12.91,0,"OK 2021","060",18.00,"*",1,"GLASSPEÇAS          ",1031,1,"83024100","1800","UND","0000",0.000,"*",48.00,-17.00,39.00,"1007400",0,60,5405,5,3,"*",25.00,138135,0,1,19.00
1119,"1119","SM 1529 NF Trinco para Box - Pegeral",28.35,19.53,47,"FINANCEIRO",0,28.35,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",12.91,0,"OK 2021","060",11.00,"*",1,"GLASSPEÇAS          ",1034,1,"83024100","1800","UND","0000",0.000,"*",7.00,5.00,0.00,"1007400",0,60,5405,5,3,"*",4.00,138135,0,1,11.00
1120,"1120","SM 1529 PT Trinco para Box - Glasspeças",36.00,24.00,47,"FINANCEIRO",0,36.00,50,50,0,0,"*",31.20,30,0.00,"*","*","*","*",12.91,0,"OK 2021","060",22.00,"*",1,"GLASSPEÇAS          ",1035,1,"83024100","1800","UND","0000",0.000,"*",49.00,28.00,-1.00,"1007400",0,0,5102,0,0,"*",-1.00,138135,0,1,22.00
1121,"1121","SM 1530 BC Contra Trinco p/Box Abrir - Glasspeças",27.28,18.16,47,"FINANCEIRO",0,27.28,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",6.85,0,"OK 2021","060",32.00,"*",1,"GLASSPEÇAS          ",1036,1,"83021000","1800","UND","0000",0.000,"*",10.00,-66.00,128.00,"1007400",0,60,5405,5,3,"*",8.00,138135,0,1,32.00
1128,"1128","SM 1530 CR Contra Trinco p/Box Abrir - Glasspeças",27.28,18.16,47,"FINANCEIRO",0,27.28,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",2.90,0,"OK 2021","060",30.00,"*",1,"GLASSPEÇAS          ",1042,1,"83021000","1800","UND","0000",0.000,"*",70.00,35.00,0.00,"1007400",0,0,5102,0,0,"*",11.00,138135,0,1,30.00
