"codigo","referencia","descrição","preço","custo","linha","usuario","comissão","preço_vista","mvista","mprazo","estmin","estmax","fabrica","menor","mmenor","promoção","letras","balança","marca","modelo","cmedio","outros","clas_fiscal","sit_fiscal","saldo","unidade","empresa","nomelinha","auto","subs","ncm","icm","und","aliquota","saldoa","ippt","saldoc","saldoatual","dif","cest","origem","csosn","cfop","idcsosn","idcfop","promox"
4328,"4328","Antilope 750 Porta D",405.35,293.05,19,"SISTEMA",0,405.35,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",78.96,0,"OK 2021","060",3.00,"*",1,"VIDRO               ",3206,1,"70052100","1800","UND","0000",0.000,"*",9.00,12.00,-1.00,"1003500",0,0,5102,0,0,"*"
4329,"4329","Antilope 750 Fixo",397.84,287.60,19,"SISTEMA",0,397.84,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",78.96,0,"OK 2021","060",0.00,"*",1,"VIDRO               ",3207,1,"70052100","1800","UND","0000",0.000,"*",6.00,14.00,-2.00,"1003500",0,0,5102,0,0,"*"
4330,"4330","Antilope 800 Porta D",432.42,312.59,19,"SISTEMA",0,432.42,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",84.22,0,"OK 2021","060",2.00,"*",1,"VIDRO               ",3208,1,"70052100","1800","UND","0000",0.000,"*",6.00,9.00,0.00,"1003500",0,0,5102,0,0,"*"
4332,"4332","Antilope 800 Fixo",424.33,306.78,19,"SISTEMA",0,424.33,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",84.22,0,"OK 2021","060",0.00,"*",1,"VIDRO               ",3210,1,"70052100","1800","UND","0000",0.000,"*",-3.00,4.00,0.00,"1003500",0,60,5405,5,3,"*"
4425,"4425","Antilope 850 Porta D",459.41,332.14,19,"SISTEMA",0,459.41,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",89.49,0,"OK 2021","060",8.00,"*",1,"VIDRO               ",3288,1,"70052100","1800","UND","0000",0.000,"*",8.00,9.00,0.00,"1003500",0,0,5102,0,0,"*"
4426,"4426","Antilope 850 Fixo",450.83,325.94,19,"SISTEMA",0,450.83,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",89.49,0,"OK 2021","060",6.00,"*",1,"VIDRO               ",3289,1,"70052100","1800","UND","0000",0.000,"*",8.00,6.00,0.00,"1003500",0,0,5102,0,0,"*"
4428,"4428","Antilope 900 Porta D",486.39,351.67,19,"SISTEMA",0,486.39,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",94.75,0,"OK 2021","060",1.00,"*",1,"VIDRO               ",3291,1,"70052100","1800","UND","0000",0.000,"*",5.00,5.00,0.00,"1003500",0,0,5102,0,0,"*"
4429,"4429","Antilope 900 Fixo",477.40,345.11,19,"SISTEMA",0,477.40,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",94.75,0,"OK 2021","060",2.00,"*",1,"VIDRO               ",3292,1,"70052100","1800","UND","0000",0.000,"*",2.00,2.00,0.00,"1003500",0,0,5102,0,0,"*"
4434,"4434","Bronze 650 Porta",542.07,391.70,19,"SISTEMA",0,542.07,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",89.81,0,"OK 2021","060",0.00,"*",1,"VIDRO               ",3297,1,"70071900","1800","UND","0000",0.000,"*",6.00,10.00,0.00,"1003600",0,60,5405,5,3,"*"
4437,"4437","Fumê 900 Fixo",389.82,272.47,19,"SISTEMA",0,389.82,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",118.44,0,"OK 2021","060",0.00,"*",1,"VIDRO               ",3300,1,"70071900","1800","UND","0000",0.000,"*",1.00,2.00,0.00,"1003600",0,0,5102,0,0,"*"
4439,"4439","Antilope 400 Fixo",212.18,153.39,19,"SISTEMA",0,212.18,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",42.11,0,"OK 2021","060",1.00,"*",1,"VIDRO               ",3302,1,"70052100","1800","UND","0000",0.000,"*",2.00,9.00,0.00,"1003500",0,60,5405,5,3,"*"
5326,"5326","Antilope 400 Porta E",216.20,155.18,19,"SISTEMA",0,216.20,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",42.11,0,"OK 2021","060",10.00,"*",1,"VIDRO               ",4039,1,"70052100","1800","UND","0000",0.000,"*",8.00,9.00,0.00,"1003500",0,0,5102,0,0,"*"
5327,"5327","Antilope 450 Porta D",243.20,175.84,19,"SISTEMA",0,243.20,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",47.37,0,"OK 2021","060",0.00,"*",1,"VIDRO               ",4040,1,"70052100","1800","UND","0000",0.000,"*",6.00,7.00,0.00,"1003500",0,0,5102,0,0,"*"
5328,"5328","Antilope 500 Porta E",270.27,195.37,19,"SISTEMA",0,270.27,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",52.64,0,"OK 2021","060",0.00,"*",1,"VIDRO               ",4041,1,"70052100","1800","UND","0000",0.000,"*",7.00,9.00,-1.00,"1003500",0,0,5102,0,0,"*"
5329,"5329","Antilope 550 Porta E",297.25,214.90,19,"SISTEMA",0,297.25,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",57.90,0,"OK 2021","060",0.00,"*",1,"VIDRO               ",4042,1,"70052100","1800","UND","0000",0.000,"*",8.00,10.00,0.00,"1003500",0,0,5102,0,0,"*"
5330,"5330","Antilope 600 Porta E",324.32,234.45,19,"SISTEMA",0,324.32,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",63.17,0,"OK 2021","060",4.00,"*",1,"VIDRO               ",4043,1,"70052100","1800","UND","0000",0.000,"*",9.00,12.00,0.00,"1003500",0,0,5102,0,0,"*"
5331,"5331","Antilope 650 Porta E",351.30,253.99,19,"SISTEMA",0,351.30,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",68.43,0,"OK 2021","060",1.00,"*",1,"VIDRO               ",4044,1,"70071900","1800","UND","0000",0.000,"*",0.00,9.00,-3.00,"1003600",0,60,5405,5,3,"*"
5332,"5332","Antilope 700 Porta E",378.29,273.52,19,"SISTEMA",0,378.29,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",73.69,0,"OK 2021","060",0.00,"*",1,"VIDRO               ",4045,1,"70052100","1800","UND","0000",0.000,"*",10.00,10.00,0.00,"1003500",0,60,5405,5,3,"*"
